AB_category	sample	sum_abund	f_groups
beta-lactam	SRS054590	6.9532799989568e-08	antibiotic resistance
beta-lactam	SRS013476	5.17321475342031e-09	antibiotic resistance
beta-lactam	SRS019161	1.56070271294035e-07	antibiotic resistance
beta-lactam	SRS015854	7.61845782927439e-08	antibiotic resistance
beta-lactam	MH0031_090121	2.35017354464061e-10	antibiotic resistance
beta-lactam	SRS017103	8.76350532557921e-08	antibiotic resistance
beta-lactam	SRS023583	6.82766648389819e-08	antibiotic resistance
beta-lactam	SRS016203	1.37269161087036e-07	antibiotic resistance
beta-lactam	SRR413597merged	3.84204222072069e-08	antibiotic resistance
beta-lactam	SRS013800	6.2266922496693e-08	antibiotic resistance
beta-lactam	SRS020328	4.27628952942962e-08	antibiotic resistance
beta-lactam	SRS013951	3.59704482561096e-08	antibiotic resistance
beta-lactam	MH0002_090117	1.13866335476754e-08	antibiotic resistance
beta-lactam	SRS011302	5.25462183662682e-08	antibiotic resistance
beta-lactam	SRS016954	2.1820744251202e-07	antibiotic resistance
beta-lactam	SRS058723	9.288746201362e-09	antibiotic resistance
beta-lactam	SRS015264	1.33154656242301e-07	antibiotic resistance
beta-lactam	SRS018575	2.97408242335448e-07	antibiotic resistance
beta-lactam	MH0019_081119	5.661281576765e-08	antibiotic resistance
beta-lactam	SRS062427	1.66772507280966e-07	antibiotic resistance
beta-lactam	SRS024625	1.59485648730326e-07	antibiotic resistance
beta-lactam	SRS049900	6.2700532830972e-09	antibiotic resistance
beta-lactam	SRS015578	1.47307591237502e-08	antibiotic resistance
beta-lactam	SRS018817	3.83355298286363e-08	antibiotic resistance
beta-lactam	SRS064276	7.53411337173498e-08	antibiotic resistance
beta-lactam	SRS021484	5.80192298680082e-08	antibiotic resistance
beta-lactam	SRS048164	8.76586213849432e-08	antibiotic resistance
beta-lactam	SRS042284	3.89289173221929e-07	antibiotic resistance
beta-lactam	MH0016_090120	5.59690495323617e-08	antibiotic resistance
beta-lactam	SRS047014	1.58583703925548e-07	antibiotic resistance
beta-lactam	SRS016267	5.37820403245598e-08	antibiotic resistance
beta-lactam	SRS050925	7.52421150801438e-08	antibiotic resistance
beta-lactam	MH0027_081119	2.19268374192857e-08	antibiotic resistance
beta-lactam	SRS014923	2.22814115539376e-08	antibiotic resistance
beta-lactam	SRS016095	3.5938957179722e-08	antibiotic resistance
beta-lactam	SRS016753	1.35057270591985e-08	antibiotic resistance
beta-lactam	MH0072_090125	2.79720292085456e-08	antibiotic resistance
beta-lactam	SRS022137	2.97024475369443e-08	antibiotic resistance
beta-lactam	MH0011_090120	3.62858877913161e-09	antibiotic resistance
beta-lactam	SRS043001	2.82432260643726e-08	antibiotic resistance
beta-lactam	SRS019267	8.6105773090063e-08	antibiotic resistance
beta-lactam	SRS064645	8.38947119959498e-09	antibiotic resistance
beta-lactam	SRS024388	2.23136128048849e-07	antibiotic resistance
beta-lactam	SRS055982	2.02589495835938e-08	antibiotic resistance
beta-lactam	SRR413573merged	5.18630161785621e-08	antibiotic resistance
aminoglycoside	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_10P	1.27522030814102e-08	antibiotic resistance
aminoglycoside	61_106_20121101_FRAG_BC_61_106_F3_73	2.75939173298804e-09	antibiotic resistance
aminoglycoside	SRR413636merged	1.6229962035733e-08	antibiotic resistance
aminoglycoside	SRS024132	1.0071475545332e-08	antibiotic resistance
aminoglycoside	T1_T16_20140211_FRAG_BC_T1_T16_F3_T3	1.3082558152303e-08	antibiotic resistance
aminoglycoside	222_257_20111020_FRAG_BC_222_257_F3_257	1.43751137591613e-08	antibiotic resistance
aminoglycoside	SRS053398	3.67318163325271e-09	antibiotic resistance
aminoglycoside	SRS078176	8.63307192718581e-09	antibiotic resistance
aminoglycoside	SRS011061	8.81344630024749e-09	antibiotic resistance
aminoglycoside	SRS016495	7.21414736812222e-09	antibiotic resistance
aminoglycoside	SRS063040	6.14819002219371e-09	antibiotic resistance
aminoglycoside	kazan5500_2014_03_31_1_L02_48BR_50trimmed_T_F3	3.39873988969037e-08	antibiotic resistance
aminoglycoside	SRS015794	8.14574664960848e-09	antibiotic resistance
aminoglycoside	SRS017433	4.09541591930334e-09	antibiotic resistance
aminoglycoside	Sh_260_20111020_FRAG_BC_Sh_260_F3_255	1.84271171754374e-08	antibiotic resistance
aminoglycoside	SRS019685	6.65978704361227e-09	antibiotic resistance
aminoglycoside	SRS023346	4.62970791303975e-09	antibiotic resistance
aminoglycoside	SRS049900	6.56842829406872e-10	antibiotic resistance
aminoglycoside	kazan5500_2014_03_31_1_L01_62BR_50trimmed_T_F3	7.82077117113044e-09	antibiotic resistance
aminoglycoside	202_209_20111028_FRAG_BC_202_209_F3_203	1.44860169598076e-08	antibiotic resistance
aminoglycoside	61_106_20121101_FRAG_BC_61_106_F3_106	3.78839270875105e-08	antibiotic resistance
aminoglycoside	SRS015264	9.84470645309414e-09	antibiotic resistance
aminoglycoside	SRS065504	7.21953169686275e-08	antibiotic resistance
aminoglycoside	SRS057717	4.29802385187135e-09	antibiotic resistance
aminoglycoside	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_T25	6.20879510513232e-09	antibiotic resistance
aminoglycoside	61_106_20121101_FRAG_BC_61_106_F3_98	4.18275483483141e-08	antibiotic resistance
aminoglycoside	SRS011586	8.99269677638019e-09	antibiotic resistance
aminoglycoside	kazan5500_2014_03_31_1_L01_23BR_50trimmed_T_F3	3.3885855375087e-08	antibiotic resistance
aminoglycoside	Spb_9_16_20110305_FRAG_BC_Spb_9_16_F3_71	1.34935854836937e-09	antibiotic resistance
aminoglycoside	Tomsk_2014_02_28_1_L02_L03_merg_31_50trimmed_T_F3	7.88518912326472e-09	antibiotic resistance
aminoglycoside	MH0085_090126	6.36858538333574e-09	antibiotic resistance
aminoglycoside	61_106_20121101_FRAG_BC_61_106_F3_72	6.11710005258586e-09	antibiotic resistance
aminoglycoside	SRS051031	4.09847463171078e-09	antibiotic resistance
aminoglycoside	SRS058723	1.92013819707342e-09	antibiotic resistance
aminoglycoside	261_268_20111115_FRAG_BC_261_268_F3_266	3.16257244028573e-09	antibiotic resistance
aminoglycoside	Tomsk_2014_02_28_1_L01_14_50trimmed_T_F3	1.99962769524341e-08	antibiotic resistance
aminoglycoside	MH0020_090120	1.40416690778972e-08	antibiotic resistance
aminoglycoside	SRS011405	6.6772013369876e-08	antibiotic resistance
aminoglycoside	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_41P	6.9969984596142e-09	antibiotic resistance
aminoglycoside	222_257_20111020_FRAG_BC_222_257_F3_230	7.84591964562887e-09	antibiotic resistance
aminoglycoside	176_317_mix_20111217_FRAG_BC_176_317_mix_F3_317	6.97013844215763e-09	antibiotic resistance
aminoglycoside	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_T18	7.74685262790904e-07	antibiotic resistance
aminoglycoside	222_257_20111020_FRAG_BC_222_257_F3_224	2.97914397470784e-09	antibiotic resistance
aminoglycoside	SRS024009	4.23801564729557e-08	antibiotic resistance
aminoglycoside	SRS045004	2.77370554866445e-09	antibiotic resistance
aminoglycoside	SRS017821	3.49224030559405e-09	antibiotic resistance
aminoglycoside	280_287_20111115_FRAG_BC_280_287_F3_284	2.41128952817853e-08	antibiotic resistance
aminoglycoside	SRS020328	8.59542174800528e-09	antibiotic resistance
aminoglycoside	kazan5500_2014_03_31_1_L03_37BR_50trimmed_T_F3	1.00686071567782e-08	antibiotic resistance
aminoglycoside	202_209_20111028_FRAG_BC_202_209_F3_207	6.46178927902939e-09	antibiotic resistance
aminoglycoside	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_14P	1.14883804477658e-08	antibiotic resistance
aminoglycoside	61_106_20121101_FRAG_BC_61_106_F3_100	2.60975328312748e-09	antibiotic resistance
aminoglycoside	SRS063985	3.72367238810948e-08	antibiotic resistance
aminoglycoside	SRS015663	8.94934128969771e-09	antibiotic resistance
aminoglycoside	SRS014313	1.61237436248082e-09	antibiotic resistance
aminoglycoside	1P_phi2_20120514_FRAG_BC_1P_phi2_F3_6P	4.24007542139299e-10	antibiotic resistance
aminoglycoside	T17_Br25_20140328_FRAG_BC_T17_Br25_F3_Br05	3.21114189885634e-08	antibiotic resistance
aminoglycoside	kazan5500_2014_03_31_1_L01_21BR_50trimmed_T_F3	2.78976156988443e-09	antibiotic resistance
aminoglycoside	176_317_mix_20111217_FRAG_BC_176_317_mix_F3_312	8.49252246454929e-09	antibiotic resistance
aminoglycoside	SRS015578	6.49152565814619e-09	antibiotic resistance
